City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
146,Grand Gaube,MU,-20.0064,57.6608,81.0,78,3,5.01,clear sky,2021-01-29 17:00:46
147,Ahuimanu,US,21.4447,-157.8378,71.6,78,75,16.11,light rain,2021-01-29 17:00:47
148,Mul,IN,20.0667,79.6667,73.53,63,45,4.12,scattered clouds,2021-01-29 17:00:47
149,Puerto Escondido,MX,15.85,-97.0667,84.2,74,40,9.22,scattered clouds,2021-01-29 17:00:47
150,Russell,US,32.3502,-85.1999,46.99,39,1,2.51,clear sky,2021-01-29 17:00:47
151,Viedma,AR,-40.8135,-62.9967,73.99,35,56,20.18,broken clouds,2021-01-29 17:00:48
152,Vostok,RU,46.4856,135.8833,-14.55,90,100,2.8,overcast clouds,2021-01-29 17:00:48
153,Lamar,US,33.6668,-95.5836,46.99,75,1,8.05,clear sky,2021-01-29 17:00:48
154,Bolton,GB,53.5833,-2.4333,48.0,91,84,1.99,broken clouds,2021-01-29 16:57:00
155,Barinas,VE,8.6226,-70.2075,89.8,37,82,8.84,broken clouds,2021-01-29 17:00:49
156,Paralimni,CY,35.0375,33.9833,50.0,66,20,5.75,few clouds,2021-01-29 17:00:49
157,Kahului,US,20.8947,-156.47,69.8,78,40,9.22,light rain,2021-01-29 16:58:55
158,Arraial Do Cabo,BR,-22.9661,-42.0278,95.0,55,0,16.11,clear sky,2021-01-29 16:56:15
159,Kapaa,US,22.0752,-159.319,71.6,83,40,13.8,light rain,2021-01-29 17:00:50
160,Fortuna,US,40.5982,-124.1573,39.99,100,1,8.05,clear sky,2021-01-29 17:00:48
161,Poum,NC,-20.2333,164.0167,78.98,77,39,14.83,scattered clouds,2021-01-29 17:00:50
162,Goderich,CA,43.7501,-81.7165,24.8,74,100,17.27,light snow,2021-01-29 17:00:51
163,Fare,PF,-16.7,-151.0167,80.85,65,19,6.82,few clouds,2021-01-29 17:00:51
164,Udachnyy,RU,66.4167,112.4,-39.3,79,57,3.6,broken clouds,2021-01-29 17:00:51
165,Wang Saphung,TH,17.301,101.7685,69.17,57,3,1.74,clear sky,2021-01-29 17:00:52
166,Saint-Philippe,RE,-21.3585,55.7679,82.4,65,0,6.91,clear sky,2021-01-29 17:00:52
167,Aviemore,GB,57.1955,-3.8259,37.99,80,40,8.05,scattered clouds,2021-01-29 17:00:52
168,Nara,JP,34.6851,135.8049,34.0,50,96,11.16,overcast clouds,2021-01-29 17:00:53
169,Cooma,AU,-36.2333,149.1333,60.8,100,90,16.11,moderate rain,2021-01-29 17:00:53
170,Ponta Do Sol,PT,32.6667,-17.1,61.0,72,16,5.01,few clouds,2021-01-29 17:00:54
171,Kavaratti,IN,10.5669,72.642,81.18,68,0,7.87,clear sky,2021-01-29 17:00:54
172,Cabo San Lucas,MX,22.8909,-109.9124,72.0,68,20,8.05,few clouds,2021-01-29 16:56:52
173,Lompoc,US,34.6391,-120.4579,44.6,100,90,5.75,light rain,2021-01-29 17:00:55
174,Roros,NO,62.5747,11.3842,-13.0,77,75,1.14,broken clouds,2021-01-29 17:00:55
175,Marsh Harbour,BS,26.5412,-77.0636,64.69,72,85,15.23,light rain,2021-01-29 17:00:55
176,Nizhneangarsk,RU,55.7833,109.55,-23.1,80,57,4.14,broken clouds,2021-01-29 17:00:56
177,Souillac,MU,-20.5167,57.5167,80.6,78,75,11.5,light rain,2021-01-29 17:00:56
178,Labuhan,ID,-6.8844,112.2051,78.12,86,100,16.15,light rain,2021-01-29 17:00:56
179,Sitka,US,57.0531,-135.33,35.6,55,90,19.57,light snow,2021-01-29 17:00:57
180,Tuatapere,NZ,-46.1333,167.6833,48.0,80,31,8.01,scattered clouds,2021-01-29 17:00:57
181,Porto Novo,BJ,6.4965,2.6036,87.8,74,40,12.66,scattered clouds,2021-01-29 17:00:58
182,Masterton,NZ,-40.9597,175.6575,55.99,72,11,4.0,few clouds,2021-01-29 16:59:32
183,Castro,BR,-24.7911,-50.0119,72.27,84,100,11.14,overcast clouds,2021-01-29 16:58:18
184,Fort-Shevchenko,KZ,44.5086,50.263,36.84,81,24,10.13,few clouds,2021-01-29 17:00:58
185,Kupang,ID,-10.1667,123.5833,80.65,82,100,13.56,moderate rain,2021-01-29 17:00:59
186,Camrose,CA,53.0168,-112.8353,-2.99,73,70,4.72,broken clouds,2021-01-29 17:00:12
187,Bitung,ID,1.4451,125.1824,73.4,94,20,1.14,few clouds,2021-01-29 17:00:59
188,Nagutskoye,RU,44.4415,42.8762,39.2,81,90,8.95,overcast clouds,2021-01-29 17:00:59
189,Yuzawa,JP,39.1667,140.5,23.29,95,79,19.71,light snow,2021-01-29 17:01:00
190,Gameleira,BR,-8.5844,-35.3867,85.15,58,100,10.63,heavy intensity rain,2021-01-29 17:01:00
191,Nikolskoye,RU,59.7035,30.7861,32.0,93,90,6.71,light snow,2021-01-29 17:01:00
192,Tiquicheo,MX,18.8833,-100.7333,93.09,24,77,1.43,broken clouds,2021-01-29 17:01:00
193,Puerto Colombia,CO,10.9878,-74.9547,84.2,58,0,24.16,clear sky,2021-01-29 17:01:01
194,Saint-Augustin,CA,51.226,-58.6502,20.37,89,0,11.34,clear sky,2021-01-29 17:01:01
195,Lincoln,US,40.8,-96.667,34.0,86,52,1.99,broken clouds,2021-01-29 16:59:33
196,Tabou,CI,4.423,-7.3528,82.22,74,44,7.74,light rain,2021-01-29 17:01:02
197,Ilulissat,GL,69.2167,-51.1,1.4,51,1,4.61,clear sky,2021-01-29 17:01:02
198,Beringovskiy,RU,63.05,179.3167,-12.84,85,94,10.92,overcast clouds,2021-01-29 17:01:02
199,Jalu,LY,29.0331,21.5482,56.28,64,0,4.99,clear sky,2021-01-29 17:01:02
200,Djambala,CG,-2.5447,14.7533,79.25,66,95,4.88,overcast clouds,2021-01-29 17:01:03
201,Saldanha,ZA,-33.0117,17.9442,66.99,82,0,15.41,clear sky,2021-01-29 16:56:44
202,Pimenta Bueno,BR,-11.6725,-61.1936,81.21,86,84,5.21,broken clouds,2021-01-29 17:01:03
203,Roswell,US,34.0232,-84.3616,45.0,44,1,3.44,clear sky,2021-01-29 17:00:57
204,Namibe,AO,-15.1961,12.1522,75.78,72,97,12.62,overcast clouds,2021-01-29 17:01:03
205,Gola Gokarannath,IN,28.0833,80.4667,52.03,51,0,8.08,clear sky,2021-01-29 17:01:04
206,Flinders,AU,-34.5833,150.8552,70.0,98,100,5.99,overcast clouds,2021-01-29 17:01:04
207,Kruisfontein,ZA,-34.0033,24.7314,70.0,67,0,7.0,clear sky,2021-01-29 17:01:04
208,Mackay,AU,-21.15,149.2,78.8,73,40,16.11,scattered clouds,2021-01-29 17:01:04
209,Tuktoyaktuk,CA,69.4541,-133.0374,-32.8,68,1,6.91,clear sky,2021-01-29 16:56:09
210,Esqueda,MX,30.7167,-109.5833,59.83,33,91,16.24,overcast clouds,2021-01-29 17:01:04
211,Lar,IN,26.2039,83.9717,50.72,62,0,6.55,clear sky,2021-01-29 17:01:05
212,Warwick,US,41.7001,-71.4162,15.01,44,40,23.02,scattered clouds,2021-01-29 17:01:05
213,Nhulunbuy,AU,-12.2333,136.7667,80.6,89,90,4.61,overcast clouds,2021-01-29 16:57:41
214,Buin,CL,-33.7333,-70.75,79.0,52,90,3.44,overcast clouds,2021-01-29 17:01:05
215,Behbahan,IR,30.5959,50.2417,66.2,55,40,11.5,scattered clouds,2021-01-29 17:01:05
216,Sambava,MG,-14.2667,50.1667,79.43,79,100,0.27,overcast clouds,2021-01-29 17:01:06
217,Bambous Virieux,MU,-20.3428,57.7575,81.0,78,75,11.5,light rain,2021-01-29 17:01:06
218,Kassala,SD,15.451,36.4,79.11,36,0,9.82,clear sky,2021-01-29 17:01:06
219,Qinhuangdao,CN,39.9317,119.5883,23.63,79,0,5.93,clear sky,2021-01-29 17:01:06
220,Belyy Yar,RU,53.6039,91.3903,26.6,68,0,4.47,clear sky,2021-01-29 17:01:07
221,Bandarbeyla,SO,9.4942,50.8122,74.84,72,11,15.52,few clouds,2021-01-29 17:01:07
222,Monrovia,LR,6.3005,-10.7969,87.8,70,75,9.22,light rain,2021-01-29 17:01:07
